playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
10.832 0.3 -0.012 0.52 -0.014454 -0.000363219 0.818865 0.15 -0.012 0.65 0.236 -5.61493e-05 -1.06681 -0.000478548 -1.63008 -0.00124842 0.555183 -0.0194491
10.833 0.3 -0.012 0.52 -0.0143283 -0.000371053 0.818654 0.15 -0.012 0.65 0.235761 -5.84809e-05 -1.06717 -0.000487174 -1.63111 -0.00128084 0.555457 -0.0194496
10.834 0.3 -0.012 0.52 -0.0142024 -0.000378919 0.818442 0.15 -0.012 0.65 0.235521 -6.08572e-05 -1.06753 -0.000495861 -1.63215 -0.0013133 0.555734 -0.0194501
10.835 0.3 -0.012 0.52 -0.0140763 -0.000386816 0.81823 0.15 -0.012 0.65 0.235281 -6.32778e-05 -1.06789 -0.000504606 -1.63319 -0.00134582 0.556014 -0.0194505
10.836 0.3 -0.012 0.52 -0.01395 -0.000394745 0.818018 0.15 -0.012 0.65 0.235041 -6.57425e-05 -1.06825 -0.000513409 -1.63423 -0.00137838 0.556298 -0.019451
10.837 0.3 -0.012 0.52 -0.0138235 -0.000402703 0.817805 0.15 -0.012 0.65 0.2348 -6.82509e-05 -1.06861 -0.000522269 -1.63527 -0.00141099 0.556584 -0.0194515
10.838 0.3 -0.012 0.52 -0.0136969 -0.000410691 0.817591 0.15 -0.012 0.65 0.234559 -7.08026e-05 -1.06897 -0.000531187 -1.63632 -0.00144364 0.556874 -0.0194519
10.839 0.3 -0.012 0.52 -0.01357 -0.000418707 0.817377 0.15 -0.012 0.65 0.234317 -7.33974e-05 -1.06934 -0.00054016 -1.63736 -0.00147632 0.557167 -0.0194524
10.84 0.3 -0.012 0.52 -0.013443 -0.000426752 0.817163 0.15 -0.012 0.65 0.234075 -7.60349e-05 -1.06971 -0.00054919 -1.63841 -0.00150904 0.557463 -0.0194528
10.841 0.3 -0.012 0.52 -0.0133159 -0.000434824 0.816948 0.15 -0.012 0.65 0.233832 -7.87147e-05 -1.07008 -0.000558274 -1.63946 -0.00154179 0.557761 -0.0194533
10.842 0.3 -0.012 0.52 -0.0131886 -0.000442923 0.816733 0.15 -0.012 0.65 0.233589 -8.14365e-05 -1.07045 -0.000567412 -1.64052 -0.00157458 0.558063 -0.0194537
10.843 0.3 -0.012 0.52 -0.0130611 -0.000451049 0.816517 0.15 -0.012 0.65 0.233346 -8.41999e-05 -1.07082 -0.000576605 -1.64157 -0.00160738 0.558368 -0.0194541
10.844 0.3 -0.012 0.52 -0.0129336 -0.0004592 0.816301 0.15 -0.012 0.65 0.233102 -8.70045e-05 -1.07119 -0.00058585 -1.64263 -0.00164021 0.558676 -0.0194545
10.845 0.3 -0.012 0.52 -0.0128059 -0.000467377 0.816085 0.15 -0.012 0.65 0.232858 -8.98501e-05 -1.07157 -0.000595149 -1.64369 -0.00167307 0.558987 -0.0194549
10.846 0.3 -0.012 0.52 -0.012678 -0.000475578 0.815868 0.15 -0.012 0.65 0.232614 -9.27363e-05 -1.07194 -0.000604499 -1.64475 -0.00170594 0.559301 -0.0194553
