playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
9.519 0.3 -0.012 0.52 -0.0095853 -0.000679119 0.810585 0.15 -0.012 0.65 0.226678 -0.00017257 -1.08129 -0.000842669 -1.67064 -0.00250049 0.567686 -0.0199075
9.52 0.3 -0.012 0.52 -0.00945572 -0.000687792 0.810362 0.15 -0.012 0.65 0.226429 -0.000176352 -1.08169 -0.000853166 -1.67173 -0.00253316 0.568069 -0.0199077
9.521 0.3 -0.012 0.52 -0.00932612 -0.00069648 0.810139 0.15 -0.012 0.65 0.22618 -0.000180165 -1.08209 -0.000863703 -1.67283 -0.0025658 0.568454 -0.0199078
9.522 0.3 -0.012 0.52 -0.00919647 -0.000705181 0.809917 0.15 -0.012 0.65 0.22593 -0.00018401 -1.0825 -0.000874282 -1.67392 -0.00259842 0.568842 -0.019908
9.523 0.3 -0.012 0.52 -0.0090668 -0.000713897 0.809693 0.15 -0.012 0.65 0.22568 -0.000187886 -1.0829 -0.000884902 -1.67501 -0.002631 0.569232 -0.0199082
9.524 0.3 -0.012 0.52 -0.00893709 -0.000722627 0.80947 0.15 -0.012 0.65 0.225431 -0.000191792 -1.0833 -0.000895562 -1.6761 -0.00266356 0.569625 -0.0199083
9.525 0.3 -0.012 0.52 -0.00880736 -0.00073137 0.809247 0.15 -0.012 0.65 0.225181 -0.00019573 -1.08371 -0.000906262 -1.6772 -0.00269608 0.57002 -0.0199085
9.526 0.3 -0.012 0.52 -0.00867759 -0.000740126 0.809024 0.15 -0.012 0.65 0.224931 -0.000199697 -1.08411 -0.000917002 -1.67829 -0.00272857 0.570418 -0.0199086
9.527 0.3 -0.012 0.52 -0.0085478 -0.000748895 0.8088 0.15 -0.012 0.65 0.224681 -0.000203695 -1.08452 -0.000927782 -1.67939 -0.00276102 0.570818 -0.0199088
9.528 0.3 -0.012 0.52 -0.00841798 -0.000757677 0.808576 0.15 -0.012 0.65 0.224431 -0.000207722 -1.08493 -0.000938601 -1.68048 -0.00279344 0.571221 -0.0199089
9.529 0.3 -0.012 0.52 -0.00828814 -0.000766472 0.808353 0.15 -0.012 0.65 0.22418 -0.000211779 -1.08533 -0.00094946 -1.68158 -0.00282583 0.571625 -0.019909
9.53 0.3 -0.012 0.52 -0.00815827 -0.000775279 0.808129 0.15 -0.012 0.65 0.22393 -0.000215865 -1.08574 -0.000960357 -1.68268 -0.00285817 0.572033 -0.0199091
9.531 0.3 -0.012 0.52 -0.00802837 -0.000784097 0.807905 0.15 -0.012 0.65 0.22368 -0.00021998 -1.08615 -0.000971292 -1.68377 -0.00289048 0.572442 -0.0199092
9.532 0.3 -0.012 0.52 -0.00789846 -0.000792928 0.807681 0.15 -0.012 0.65 0.22343 -0.000224124 -1.08656 -0.000982266 -1.68487 -0.00292274 0.572854 -0.0199093
9.533 0.3 -0.012 0.52 -0.00776852 -0.00080177 0.807457 0.15 -0.012 0.65 0.223179 -0.000228296 -1.08697 -0.000993278 -1.68597 -0.00295497 0.573268 -0.0199094
9.534 0.3 -0.012 0.52 -0.00763856 -0.000810623 0.807233 0.15 -0.012 0.65 0.222929 -0.000232497 -1.08738 -0.00100433 -1.68706 -0.00298715 0.573685 -0.0199095
