playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.174 0.554701 0.0197591 0.62483 0.55475 0.0113219 0.624845 -0.25996 -0.00101105 0.2795 -1.57241 0.00374634 1.57724 0.0323663
11.175 0.554701 0.0197591 0.62483 0.554751 0.0114425 0.624846 -0.265667 -0.00100186 0.285424 -1.5724 0.003743 1.57724 0.0323755
11.176 0.554701 0.0197591 0.62483 0.554752 0.0115618 0.624846 -0.271404 -0.000992722 0.291375 -1.57239 0.00373968 1.57724 0.0323845
11.177 0.554701 0.0197591 0.62483 0.554753 0.0116798 0.624846 -0.277169 -0.000983633 0.297351 -1.57237 0.0037364 1.57724 0.0323934
11.178 0.554701 0.0197591 0.62483 0.554753 0.0117965 0.624847 -0.28296 -0.000974602 0.303352 -1.57236 0.00373315 1.57724 0.0324022
11.179 0.554701 0.0197591 0.62483 0.554754 0.0119119 0.624847 -0.288777 -0.000965633 0.309376 -1.57235 0.00372994 1.57724 0.0324108
11.18 0.554701 0.0197591 0.62483 0.554755 0.012026 0.624847 -0.294618 -0.000956732 0.315422 -1.57234 0.00372677 1.57724 0.0324194
11.181 0.554701 0.0197591 0.62483 0.554756 0.0121388 0.624848 -0.300482 -0.000947904 0.321489 -1.57232 0.00372364 1.57724 0.0324277
11.182 0.554701 0.0197591 0.62483 0.554756 0.0122503 0.624848 -0.306368 -0.000939155 0.327574 -1.57231 0.00372056 1.57724 0.032436
11.183 0.554701 0.0197591 0.62483 0.554757 0.0123605 0.624848 -0.312274 -0.000930488 0.333678 -1.5723 0.00371754 1.57724 0.0324442
11.184 0.554701 0.0197591 0.62483 0.554758 0.0124694 0.624849 -0.318199 -0.000921911 0.339799 -1.57228 0.00371456 1.57724 0.0324522
11.185 0.554701 0.0197591 0.62483 0.554759 0.012577 0.624849 -0.324142 -0.000913427 0.345935 -1.57227 0.00371164 1.57724 0.0324601
11.186 0.554701 0.0197591 0.62483 0.554759 0.0126833 0.624849 -0.330102 -0.000905042 0.352085 -1.57226 0.00370878 1.57724 0.032468
11.187 0.554701 0.0197591 0.62483 0.55476 0.0127882 0.624849 -0.336077 -0.00089676 0.358248 -1.57225 0.00370597 1.57724 0.0324757
