playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.17 0.3 -0.012 0.52 -0.00869697 -0.00144065 0.808258 0.00288246 -1.08672 -0.0016516 -1.68222 -0.00551437 0.572402 0.0333604
11.171 0.3 -0.012 0.52 -0.008567 -0.0014494 0.808033 0.00290719 -1.08713 -0.00166388 -1.68332 -0.00554298 0.572813 0.033436
11.172 0.3 -0.012 0.52 -0.00843701 -0.00145816 0.807809 0.00293161 -1.08754 -0.00167624 -1.68442 -0.00557152 0.573227 0.0335095
11.173 0.3 -0.012 0.52 -0.008307 -0.00146695 0.807585 0.00295572 -1.08796 -0.00168869 -1.68552 -0.00559998 0.573643 0.033581
11.174 0.3 -0.012 0.52 -0.00817697 -0.00147574 0.80736 0.00297952 -1.08837 -0.00170122 -1.68662 -0.00562837 0.574061 0.0336505
11.175 0.3 -0.012 0.52 -0.00804692 -0.00148456 0.807136 0.00300301 -1.08878 -0.00171383 -1.68772 -0.00565668 0.574482 0.033718
11.176 0.3 -0.012 0.52 -0.00791685 -0.00149339 0.806911 0.00302619 -1.0892 -0.00172652 -1.68882 -0.00568492 0.574905 0.0337836
11.177 0.3 -0.012 0.52 -0.00778677 -0.00150223 0.806686 0.00304907 -1.08961 -0.00173929 -1.68992 -0.00571309 0.57533 0.0338471
11.178 0.3 -0.012 0.52 -0.00765666 -0.00151109 0.806461 0.00307164 -1.09003 -0.00175213 -1.69103 -0.00574119 0.575757 0.0339088
11.179 0.3 -0.012 0.52 -0.00752654 -0.00151996 0.806237 0.0030939 -1.09044 -0.00176505 -1.69213 -0.00576922 0.576187 0.0339685
11.18 0.3 -0.012 0.52 -0.00739639 -0.00152884 0.806012 0.00311587 -1.09086 -0.00177804 -1.69323 -0.00579717 0.576619 0.0340263
11.181 0.3 -0.012 0.52 -0.00726623 -0.00153773 0.805787 0.00313753 -1.09128 -0.0017911 -1.69433 -0.00582506 0.577052 0.0340823
11.182 0.3 -0.012 0.52 -0.00713605 -0.00154664 0.805562 0.00315889 -1.09169 -0.00180423 -1.69543 -0.00585289 0.577488 0.0341363
11.183 0.3 -0.012 0.52 -0.00700586 -0.00155556 0.805337 0.00317995 -1.09211 -0.00181743 -1.69654 -0.00588064 0.577927 0.0341885
11.184 0.3 -0.012 0.52 -0.00687565 -0.00156449 0.805111 0.00320072 -1.09253 -0.00183069 -1.69764 -0.00590833 0.578367 0.0342389
11.185 0.3 -0.012 0.52 -0.00674542 -0.00157343 0.804886 0.00322119 -1.09295 -0.00184402 -1.69874 -0.00593596 0.578809 0.0342875
11.186 0.3 -0.012 0.52 -0.00661517 -0.00158238 0.804661 0.00324136 -1.09337 -0.00185741 -1.69984 -0.00596352 0.579254 0.0343343
11.187 0.3 -0.012 0.52 -0.0064849 -0.00159134 0.804436 0.00326125 -1.09379 -0.00187086 -1.70095 -0.00599102 0.5797 0.0343793
11.188 0.3 -0.012 0.52 -0.00635462 -0.00160031 0.80421 0.00328084 -1.09421 -0.00188437 -1.70205 -0.00601846 0.580149 0.0344226
11.189 0.3 -0.012 0.52 -0.00622432 -0.00160928 0.803985 0.00330015 -1.09463 -0.00189794 -1.70315 -0.00604584 0.580599 0.0344641
11.19 0.3 -0.012 0.52 -0.006094 -0.00161827 0.80376 0.00331917 -1.09505 -0.00191156 -1.70425 -0.00607315 0.581052 0.0345039
11.191 0.3 -0.012 0.52 -0.00596366 -0.00162726 0.803534 0.00333791 -1.09547 -0.00192525 -1.70536 -0.00610041 0.581506 0.0345421
11.192 0.3 -0.012 0.52 -0.00583331 -0.00163626 0.803309 0.00335637 -1.09589 -0.00193898 -1.70646 -0.00612761 0.581963 0.0345785
11.193 0.3 -0.012 0.52 -0.00570294 -0.00164527 0.803083 0.00337454 -1.09631 -0.00195277 -1.70756 -0.00615475 0.582422 0.0346134
11.194 0.3 -0.012 0.52 -0.00557254 -0.00165429 0.802858 0.00339244 -1.09673 -0.00196661 -1.70866 -0.00618183 0.582882 0.0346466
11.195 0.3 -0.012 0.52 -0.00544213 -0.00166331 0.802632 0.00341007 -1.09715 -0.00198049 -1.70977 -0.00620886 0.583344 0.0346782
11.196 0.3 -0.012 0.52 -0.00531171 -0.00167234 0.802407 0.00342742 -1.09757 -0.00199443 -1.71087 -0.00623583 0.583809 0.0347082
11.197 0.3 -0.012 0.52 -0.00518126 -0.00168138 0.802181 0.0034445 -1.098 -0.00200842 -1.71197 -0.00626275 0.584275 0.0347366
11.198 0.3 -0.012 0.52 -0.00505079 -0.00169042 0.801956 0.00346132 -1.09842 -0.00202245 -1.71307 -0.00628961 0.584743 0.0347636
11.199 0.3 -0.012 0.52 -0.0049203 -0.00169946 0.80173 0.00347786 -1.09884 -0.00203652 -1.71417 -0.00631642 0.585213 0.034789
11.2 0.3 -0.012 0.52 -0.0047898 -0.00170851 0.801504 0.00349415 -1.09927 -0.00205064 -1.71528 -0.00634318 0.585685 0.0348129
11.201 0.3 -0.012 0.52 -0.00465927 -0.00171757 0.801279 0.00351017 -1.09969 -0.0020648 -1.71638 -0.00636989 0.586159 0.0348353
11.202 0.3 -0.012 0.52 -0.00452872 -0.00172663 0.801053 0.00352594 -1.10011 -0.002079 -1.71748 -0.00639654 0.586634 0.0348563
11.203 0.3 -0.012 0.52 -0.00439815 -0.00173569 0.800828 0.00354145 -1.10054 -0.00209325 -1.71858 -0.00642315 0.587112 0.0348758
11.204 0.3 -0.012 0.52 -0.00426756 -0.00174476 0.800602 0.0035567 -1.10096 -0.00210753 -1.71968 -0.00644971 0.587591 0.034894
11.205 0.3 -0.012 0.52 -0.00413694 -0.00175383 0.800376 0.00357171 -1.10139 -0.00212185 -1.72078 -0.00647622 0.588072 0.0349108
11.206 0.3 -0.012 0.52 -0.00400631 -0.00176291 0.800151 0.00358646 -1.10181 -0.00213621 -1.72189 -0.00650268 0.588554 0.0349262
