playtime target_pos_ee(x) target_pos_ee(y) target_pos_ee(z) current_pos_ee(x) current_pos_ee(y) current_pos_ee(z) target_pos_link4(x) target_pos_link4(y) target_pos_link4(z) current_pos_link4(x) current_pos_link4(y) current_pos_link4(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.137 0.35 0.28 0.7 0.554566 0.000244366 0.623614 0 -0.15 0.5 0.082674 3.48164e-05 0.648955 0.000725128 -0.00088029 0.000736526    -1.57219 0.000625362     1.56922    0.785395
8.138 0.35 0.28 0.7 0.554562 0.000251317 0.623614 0 -0.15 0.5 0.0826711 3.57739e-05 0.648955  0.000739258 -0.000909031  0.000750879      -1.5722  0.000640211      1.56919     0.785395
8.139 0.35 0.28 0.7 0.554558 0.000258384 0.623614 0 -0.15 0.5 0.082668 3.6747e-05 0.648956  0.000753521 -0.000938047  0.000765363     -1.57222  0.000655247      1.56917     0.785395
8.14 0.35 0.28 0.7 0.554553 0.000265568 0.623614 0 -0.15 0.5 0.0826649 3.77358e-05 0.648957  0.000767915 -0.000967337  0.000779979     -1.57224  0.000670469      1.56914     0.785395
8.141 0.35 0.28 0.7 0.554549 0.000272869 0.623614 0 -0.15 0.5 0.0826618 3.87404e-05 0.648958  0.000782442 -0.000996902  0.000794726     -1.57226  0.000685879      1.56911     0.785395
8.142 0.35 0.28 0.7 0.554545 0.000280287 0.623614 0 -0.15 0.5 0.0826585 3.97609e-05 0.648959   0.0007971 -0.00102674 0.000809605    -1.57228 0.000701478     1.56908    0.785395
8.143 0.35 0.28 0.7 0.55454 0.000287824 0.623614 0 -0.15 0.5 0.0826552 4.07972e-05 0.648959  0.00081189 -0.00105685 0.000824614     -1.5723 0.000717266     1.56905    0.785395
8.144 0.35 0.28 0.7 0.554536 0.000295479 0.623614 0 -0.15 0.5 0.0826518 4.18495e-05 0.64896 0.000826813 -0.00108724 0.000839754    -1.57231 0.000733243     1.56902    0.785395
8.145 0.35 0.28 0.7 0.554531 0.000303253 0.623615 0 -0.15 0.5 0.0826484 4.29178e-05 0.648961 0.000841866  -0.0011179 0.000855024    -1.57233 0.000749412     1.56899    0.785395
8.146 0.35 0.28 0.7 0.554526 0.000311147 0.623615 0 -0.15 0.5 0.0826449 4.40023e-05 0.648962 0.000857052 -0.00114883 0.000870425    -1.57235 0.000765771     1.56896    0.785395
8.147 0.35 0.28 0.7 0.554521 0.000319161 0.623615 0 -0.15 0.5 0.0826413 4.51028e-05 0.648963 0.000872369 -0.00118004 0.000885955    -1.57237 0.000782322     1.56893    0.785395
8.148 0.35 0.28 0.7 0.554516 0.000327296 0.623616 0 -0.15 0.5 0.0826377 4.62196e-05 0.648964 0.000887818 -0.00121151 0.000901615    -1.57239 0.000799066      1.5689    0.785395
8.149 0.35 0.28 0.7 0.554511 0.000335552 0.623616 0 -0.15 0.5 0.0826339 4.73526e-05 0.648965 0.000903398 -0.00124326 0.000917404    -1.57241 0.000816004     1.56887    0.785395
8.15 0.35 0.28 0.7 0.554506 0.00034393 0.623617 0 -0.15 0.5 0.0826301 4.8502e-05 0.648966  0.00091911 -0.00127529 0.000933323    -1.57243 0.000833135     1.56884    0.785395
8.151 0.35 0.28 0.7 0.554501 0.00035243 0.623617 0 -0.15 0.5 0.0826263 4.96677e-05 0.648967 0.000934953 -0.00130758  0.00094937    -1.57245 0.000850461      1.5688    0.785395
8.152 0.35 0.28 0.7 0.554496 0.000361052 0.623618 0 -0.15 0.5 0.0826223 5.08499e-05 0.648968 0.000950928 -0.00134015 0.000965546    -1.57247 0.000867982     1.56877    0.785395
8.153 0.35 0.28 0.7 0.55449 0.000369798 0.623619 0 -0.15 0.5 0.0826183 5.20486e-05 0.648969 0.000967033 -0.00137298  0.00098185    -1.57249   0.0008857     1.56874    0.785395
8.154 0.35 0.28 0.7 0.554485 0.000378667 0.623619 0 -0.15 0.5 0.0826143 5.32638e-05 0.64897  0.00098327 -0.00140609 0.000998282    -1.57251 0.000903614     1.56871    0.785395
8.155 0.35 0.28 0.7 0.554479 0.00038766 0.62362 0 -0.15 0.5 0.0826101 5.44956e-05 0.648971 0.000999638 -0.00143947  0.00101484    -1.57253 0.000921726     1.56867    0.785395
8.156 0.35 0.28 0.7 0.554474 0.000396778 0.623621 0 -0.15 0.5 0.0826059 5.5744e-05 0.648972  0.00101614 -0.00147312  0.00103153    -1.57255 0.000940036     1.56864    0.785395
8.157 0.35 0.28 0.7 0.554468 0.00040602 0.623622 0 -0.15 0.5 0.0826016 5.70091e-05 0.648973  0.00103277 -0.00150704  0.00104835    -1.57257 0.000958544     1.56861    0.785395
8.158 0.35 0.28 0.7 0.554462 0.000415388 0.623623 0 -0.15 0.5 0.0825972 5.8291e-05 0.648975  0.00104953 -0.00154124  0.00106529     -1.5726 0.000977253     1.56857    0.785395
8.159 0.35 0.28 0.7 0.554456 0.000424882 0.623624 0 -0.15 0.5 0.0825928 5.95896e-05 0.648976  0.00106642  -0.0015757  0.00108236    -1.57262 0.000996161     1.56854    0.785395
