playtime q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7 tau_desired_1 tau_desired_2 tau_desired_3 tau_desired_4 tau_desired_5 tau_desired_6 tau_desired_7
27.203 1.85121e-07 8.31639e-07 -6.64451e-06 -0.523597 1.72845e-05 1.57081 -0.00196503 -5.41773e-17 -12.6196 7.55499e-07 5.65313 0.398047 1.3641 -0.0459137
27.204 1.85742e-07 8.33614e-07 -6.64429e-06 -0.523597 1.72819e-05 1.57081 -0.001965 -3.50557e-17 -12.6196 7.57294e-07 5.65313 0.398047 1.3641 -0.0459137
27.205 1.8636e-07 8.3559e-07 -6.64407e-06 -0.523597 1.72793e-05 1.57081 -0.00196496 6.59015e-17 -12.6196 7.59088e-07 5.65313 0.398047 1.3641 -0.0459137
27.206 1.86973e-07 8.37565e-07 -6.64385e-06 -0.523597 1.72767e-05 1.57081 -0.00196493 1.00074e-16 -12.6196 7.60883e-07 5.65313 0.398047 1.3641 -0.0459137
27.207 1.87584e-07 8.39541e-07 -6.64363e-06 -0.523597 1.72741e-05 1.57081 -0.00196489 1.65013e-17 -12.6196 7.62678e-07 5.65313 0.398047 1.3641 -0.0459137
27.208 1.8819e-07 8.41516e-07 -6.64342e-06 -0.523597 1.72715e-05 1.57081 -0.00196486 -7.37084e-17 -12.6196 7.64473e-07 5.65313 0.398047 1.3641 -0.0459137
27.209 1.88794e-07 8.43492e-07 -6.6432e-06 -0.523597 1.7269e-05 1.57081 -0.00196483 5.58614e-17 -12.6196 7.66267e-07 5.65313 0.398047 1.3641 -0.0459137
27.21 1.89393e-07 8.45468e-07 -6.64299e-06 -0.523597 1.72665e-05 1.57081 -0.0019648 9.02954e-17 -12.6196 7.68062e-07 5.65313 0.398047 1.3641 -0.0459137
27.211 1.89989e-07 8.47443e-07 -6.64278e-06 -0.523597 1.7264e-05 1.57081 -0.00196476 1.24761e-16 -12.6196 7.69857e-07 5.65313 0.398047 1.3641 -0.0459137
27.212 1.90582e-07 8.49418e-07 -6.64256e-06 -0.523597 1.72616e-05 1.57081 -0.00196473 9.00544e-18 -12.6196 7.71651e-07 5.65313 0.398047 1.3641 -0.0459137
27.213 1.91171e-07 8.51394e-07 -6.64235e-06 -0.523597 1.72591e-05 1.57081 -0.0019647 1.93918e-17 -12.6196 7.73445e-07 5.65313 0.398047 1.3641 -0.0459137
27.214 1.91757e-07 8.53368e-07 -6.64214e-06 -0.523597 1.72567e-05 1.57081 -0.00196467 1.48389e-16 -12.6196 7.75239e-07 5.65313 0.398047 1.3641 -0.0459137
27.215 1.92339e-07 8.55343e-07 -6.64193e-06 -0.523597 1.72543e-05 1.57081 -0.00196464 5.66157e-17 -12.6196 7.77033e-07 5.65313 0.398047 1.3641 -0.0459137
27.216 1.92918e-07 8.57316e-07 -6.64172e-06 -0.523597 1.72519e-05 1.57081 -0.00196461 2.45953e-16 -12.6196 7.78826e-07 5.65313 0.398047 1.3641 -0.0459137
